"","village","temps_au_village","ethnie","niveau_etudes","activite_1","activite_2","activite_3","temps_chasseur","especes_chassees","chasse_fusil","temps_strategie_fusil","type_chasse_fusil","chasse_arcfleches","temps_strategie_arcfleches","type_chasse_arcfleches","chasse_machette","temps_strategie_machette","efficacite_strategie_machette","nombre_personnes_machette","temps_strategie_pieges","type_chasse_pieges","chasse_chiens","temps_strategie_chiens","type_chasse_chiens","Age"
"145",5,31,"nkundu","primaire","chasse","peche","agriculture",13,"petitsmoyensongules_grandsongules_singes_rongeurs_reptiles","oui","journuit","individuelle","oui","journuit","individuelle","non","","",NA,"jour","individuelle","non","","",31
"146",3,3,"nkundu","secondaire","chasse","peche","agriculture",3,"petitsmoyensongules_grandsongules","non","","","oui","jour","individuelle","oui","nuit","100%",NA,"jour","individuelle","non","","",41
"147",3,28,"nkundu","secondaire","chasse","peche","agriculture",11,"petitsmoyensongules","non","","","oui","nuit","collective","oui","nuit","50%",NA,"","","non","","",28
"148",1,10,"nkundu","secondaire","chasse","peche","agriculture",5,"rongeurs_petitsmoyensongules","non","","","non","","","oui","jour","50%",NA,"jour","individuelle","non","","",23
"149",5,25,"nkundu","secondaire","chasse","peche","agriculture",3,"singes_rongeurs","oui","journuit","individuelle","oui","nuit","individuelle","oui","nuit","50%",NA,"jour","individuelle","non","","",25
"150",5,6,"nkundu","secondaire","agriculture","chasse","salarie",11,"rongeurs_grandsongules","non","","","non","","","oui","jour","50%",NA,"jour","individuelle","non","","",23
"151",5,13,"nkundu","aucune","chasse","peche","agriculture",10,"rongeurs","non","","","oui","nuit","individuelle","non","","",NA,"","","non","","",23
"152",5,29,"nkundu","aucune","chasse","peche","agriculture",17,"sangliers_grandsongules_petitsmoyensongules","non","","","oui","journuit","individuelle","non","","",NA,"jour","individuelle","non","","",29
"153",5,2,"autre","secondaire","chasse","peche","agriculture",26,"singes","oui","journuit","individuelle","non","","","non","","",NA,"","","non","","",23
"154",5,41,"nkundu","secondaire","chasse","peche","agriculture",20,"petitsmoyensongules_grandsongules_sangliers_singes_rongeurs_reptiles_oiseaux","oui","journuit","individuelle","oui","journuit","individuelle","non","","",NA,"journuit","individuelle","non","","",41
"155",5,30,"nkundu","secondaire","chasse","agriculture","peche",17,"grandsongules_sangliers_petitsmoyensongules_singes_rongeurs_reptiles_oiseaux_pangolins","oui","journuit","individuelle","non","","","non","","",NA,"journuit","individuelle","non","","",30
"156",5,39,"nkundu","primaire","chasse","agriculture","peche",15,"grandsongules_petitsmoyensongules_sangliers_singes_rongeurs_reptiles_oiseaux","oui","journuit","individuelle","oui","journuit","individuelle","non","","",NA,"journuit","individuelle","non","","",39
"157",2,30,"nkundu","secondaire","chasse","peche","agriculture",40,"petitsmoyensongules_sangliers_rongeurs_reptiles_singes_grandsongules","oui","journuit","individuelle","oui","journuit","individuelle","non","","",NA,"journuit","individuelle","non","","",48
"158",2,0,"nkundu","secondaire","agriculture","chasse","peche",10,"petitsmoyensongules_sangliers_singes_rongeurs_reptiles","oui","jour","individuelle","oui","jour","individuelle","non","","",NA,"jour","individuelle","non","","",31
"159",2,30,"nkundu","secondaire","autre","agriculture","chasse",25,"petitsmoyensongules_grandsongules_sangliers_singes_rongeurs_reptiles_oiseaux","oui","journuit","individuelle","oui","journuit","individuelle","non","","",NA,"journuit","individuelle","non","","",48
"160",6,35,"nkundu","secondaire","chasse","peche","agriculture",3,"rongeurs_sangliers_singes_petitsmoyensongules_grandsongules_reptiles_oiseaux","oui","journuit","individuelle","oui","journuit","individuelle","non","","",NA,"journuit","individuelle","non","","",35
